"","region","urb","lit","voteshare","absolute_wealth"
"230","Region 2",0.136764317750931,0.404629945755005,0.112350232899189,2
"231","Region 2",0.0918221399188042,0.457907050848007,0.216759920120239,549000
"232","Region 2",0.0595296286046505,0.323483973741531,0.386511504650116,3942999.5
"233","Region 2",0.149098843336105,0.428374171257019,0.520316779613495,2367076
"234","Region 2",0.0685975402593613,0.40396648645401,0.364570200443268,3520544.5
"235","Region 2",0.13922156393528,0.478350907564163,0.408127009868622,4050302.25
"236","Region 2",0.0544314682483673,0.41189506649971,0.493162661790848,211999.953125
"237","Region 2",0.417269378900528,0.519964635372162,0.324093133211136,5009571
"238","Region 2",0.034795306622982,0.334456503391266,0.418270140886307,2540625.75
"239","Region 2",0.035024207085371,0.34021332859993,0.406019479036331,1993000.25
"240","Region 2",0.417269378900528,0.519964635372162,0.380735248327255,14401.00390625
"241","Region 2",0.0737605765461922,0.340479254722595,0.370933055877686,766821.0625
"242","Region 2",0.0737605765461922,0.340479254722595,0.486458152532578,1972505
"243","Region 2",0.080962099134922,0.354261755943298,0.285375088453293,396720.9375
"244","Region 2",0.0571252293884754,0.304806679487228,0.235077321529388,71001
"245","Region 2",0.0638209357857704,0.295618563890457,0.476710796356201,3739999
"246","Region 2",0.0363600961863995,0.356767565011978,0.221495717763901,911140.3125
"247","Region 2",0.0917686820030212,0.414815038442612,0.392104715108871,4686520
"248","Region 2",0.0929537191987038,0.384591400623322,0.546904325485229,305417.09375
"249","Region 2",0.0685975402593613,0.40396648645401,0.394054740667343,21356186
"250","Region 2",0.035024207085371,0.34021332859993,0.353891581296921,2515892.5
"251","Region 2",0.149098843336105,0.428374171257019,0.47708061337471,1158560
"252","Region 2",0.0917686820030212,0.414815038442612,0.4235999584198,1823206.25
